date,open,close
2007-04-20,45.09,44.95
2007-04-23,44.27,44.77
2007-04-24,44.75,44.75
2007-04-25,53.12,56.81
2007-04-26,56.99,62.8
2007-04-27,61.24,62.601
2007-04-30,61.91,61.33
2007-05-01,61.12,61.185
2007-05-02,61.68,61.18
2007-05-03,61.08,62.19
2007-05-04,62.39,63.23
2007-05-07,62.43,60.82
2007-05-08,60.54,61.83
2007-05-09,62.0,62.85
2007-05-10,62.44,60.92
2007-05-11,60.96,61.56
2007-05-14,61.68,61.7
2007-05-15,61.4,60.58
2007-05-16,61.02,63.22
2007-05-17,62.88,62.17
2007-05-18,62.48,63.3
2007-05-21,63.58,68.3
2007-05-22,68.48,68.88
2007-05-23,69.21,69.0
2007-05-24,69.04,69.35
2007-05-25,69.69,68.55
2007-05-29,68.43,69.63
2007-05-30,69.06,69.86
2007-05-31,70.68,69.14
2007-06-01,68.9,68.58
2007-06-04,68.25,70.42
2007-06-05,71.1,73.65
2007-06-06,73.14,72.29
2007-06-07,72.57,72.0399
2007-06-08,72.47,73.24
2007-06-11,73.0,71.17
2007-06-12,70.44,70.07
2007-06-13,70.9,70.888
2007-06-14,70.9,71.94
2007-06-15,72.85,72.4
2007-06-18,72.34,71.83
2007-06-19,71.55,69.81
2007-06-20,70.25,69.1
2007-06-21,69.16,69.67
2007-06-22,69.55,68.86
2007-06-25,69.35,68.66
2007-06-26,68.53,67.48
2007-06-27,66.96,68.14
2007-06-28,68.46,68.89
2007-06-29,69.03,68.41
2007-07-02,68.81,69.61
2007-07-03,70.04,69.45
2007-07-05,69.36,68.73
2007-07-06,68.75,68.97
2007-07-09,69.38,72.0699
2007-07-10,71.65,70.28
2007-07-11,70.58,70.73
2007-07-12,71.31,72.79
2007-07-13,73.08,75.1
2007-07-16,74.73,73.69
2007-07-17,74.39,73.79
2007-07-18,73.27,73.32
2007-07-19,74.24,73.35
2007-07-20,72.62,71.63
2007-07-23,71.78,71.74
2007-07-24,71.04,69.25
2007-07-25,84.65,86.1799
2007-07-26,85.02,84.01
2007-07-27,84.27,84.0399
2007-07-30,83.0,82.7
2007-07-31,83.7,78.54
2007-08-01,78.1,77.31
2007-08-02,77.86,79.71
2007-08-03,79.54,76.7999
2007-08-06,77.06,79.0
2007-08-07,78.55,79.14
2007-08-08,79.77,77.78
2007-08-09,76.4,74.11
2007-08-10,73.15,74.7801
2007-08-13,76.09,74.87
2007-08-14,74.79,73.45
2007-08-15,72.97,72.38
2007-08-16,72.0,72.79
2007-08-17,74.49,75.02
2007-08-20,74.98,74.7
2007-08-21,74.21,77.49
2007-08-22,78.24,78.5
2007-08-23,78.94,77.3
2007-08-24,76.8,79.25
2007-08-27,80.56,78.65
2007-08-28,77.86,76.22
2007-08-29,76.96,79.05
2007-08-30,78.4,78.68
2007-08-31,80.0,79.91
2007-09-04,79.9,82.7
2007-09-05,82.24,83.75
2007-09-06,84.5,86.21
2007-09-07,84.7,84.52
2007-09-10,84.93,83.34
2007-09-11,84.17,86.28
2007-09-12,86.07,87.3
2007-09-13,87.95,87.26
2007-09-14,86.41,87.77
2007-09-17,86.98,86.91
2007-09-18,87.38,88.75
2007-09-19,89.52,89.0
2007-09-20,88.9,89.65
2007-09-21,90.29,91.3
2007-09-24,91.29,92.59
2007-09-25,91.99,93.4799
2007-09-26,94.04,93.43
2007-09-27,94.07,93.38
2007-09-28,92.77,93.15
2007-10-01,93.42,93.41
2007-10-02,93.865,92.36
2007-10-03,92.19,92.455
2007-10-04,92.55,92.26
2007-10-05,93.55,93.43
2007-10-08,94.22,95.85
2007-10-09,96.59,95.3237
2007-10-10,95.5,94.66
2007-10-11,95.33,89.34
2007-10-12,89.42,92.37
2007-10-15,91.8,90.53
2007-10-16,88.69,89.53
2007-10-17,91.9,90.55
2007-10-18,89.37,89.85
2007-10-19,89.93,89.76
2007-10-22,89.25,91.29
2007-10-23,95.28,100.82
2007-10-24,90.87,88.73
2007-10-25,88.23,88.21
2007-10-26,89.0,90.0
2007-10-29,90.41,90.1
2007-10-30,89.67,88.24
2007-10-31,88.05,89.15
2007-11-01,87.75,87.65
2007-11-02,88.0,85.98
2007-11-05,84.83,84.37
2007-11-06,84.6,87.27
2007-11-07,86.41,87.0438
2007-11-08,86.8,83.58
2007-11-09,82.42,78.89
2007-11-12,78.26,77.0
2007-11-13,77.91,79.86
2007-11-14,80.4,78.51
2007-11-15,79.43,77.85
2007-11-16,77.01,78.6
2007-11-19,78.83,79.18
2007-11-20,79.86,80.39
2007-11-21,79.24,79.76
2007-11-23,80.11,81.43
2007-11-26,82.3,81.3035
2007-11-27,82.92,85.59
2007-11-28,87.55,90.3
2007-11-29,89.89,89.15
2007-11-30,90.56,90.56
2007-12-03,90.03,90.91
2007-12-04,90.04,94.41
2007-12-05,94.99,93.19
2007-12-06,93.28,94.21
2007-12-07,94.56,94.31
2007-12-10,94.31,93.02
2007-12-11,93.1,90.75
2007-12-12,92.84,91.28
2007-12-13,91.05,92.4
2007-12-14,90.77,89.08
2007-12-17,89.01,85.09
2007-12-18,85.83,86.89
2007-12-19,86.94,89.38
2007-12-20,90.14,90.58
2007-12-21,91.38,91.26
2007-12-24,91.05,91.01
2007-12-26,91.48,92.85
2007-12-27,92.67,94.25
2007-12-28,95.27,94.45
2007-12-31,93.81,92.64
